"gene"	"ark1B"	"ark2B"	"blrB"	"polB"	"revB"	"pcnB"
"Potri.001G030700"	0	0	0	0	"0"	"0"
"Potri.001G030800"	1	1	0	0	"0"	"1"
"Potri.001G030900"	1	1	0	0	"0"	"0"
"Potri.001G031000"	1	1	0	0	"0"	"0"
"Potri.001G031100"	0	0	0	0	"0"	"0"
"Potri.001G031200"	0	0	0	0	"0"	"0"
"Potri.001G031300"	0	0	0	0	"0"	"0"
"Potri.001G031400"	1	1	0	0	"0"	"0"
"Potri.001G031500"	1	0	1	1	"0"	"0"
"Potri.001G031600"	1	1	0	0	"0"	"0"
"Potri.001G031700"	1	1	0	0	"0"	"0"
"Potri.001G031800"	1	0	0	0	"0"	"0"
"Potri.001G031900"	0	0	0	0	"0"	"0"
"Potri.001G032000"	1	0	0	0	"0"	"1"
"Potri.001G032100"	1	0	0	0	"0"	"1"
"Potri.001G032200"	0	0	0	0	"0"	"1"
"Potri.001G032300"	0	0	0	0	"0"	"0"
"Potri.001G032400"	0	0	0	0	"0"	"0"
"Potri.001G032500"	0	0	0	0	"0"	"0"
"Potri.001G032600"	0	0	0	0	"0"	"0"
"Potri.001G032700"	0	0	0	0	"0"	"0"
"Potri.001G032800"	1	1	1	0	"0"	"0"
"Potri.001G032900"	0	0	0	0	"0"	"0"
"Potri.001G033000"	0	0	0	0	"0"	"0"
"Potri.001G033100"	0	0	0	0	"0"	"1"
"Potri.001G033200"	1	1	0	0	"0"	"1"
"Potri.001G033300"	1	1	0	0	"0"	"0"
"Potri.001G033400"	0	0	0	0	"0"	"0"
"Potri.001G033500"	1	0	0	0	"0"	"0"
"Potri.001G033600"	1	0	0	0	"0"	"0"
"Potri.001G033700"	0	0	0	0	"0"	"0"
"Potri.001G033800"	0	0	0	0	"0"	"0"
"Potri.001G033900"	1	1	0	0	"0"	"1"
"Potri.001G034000"	1	1	0	0	"0"	"1"
"Potri.001G034100"	0	0	0	0	"0"	"0"
"Potri.001G034200"	1	1	0	0	"0"	"0"
"Potri.001G034300"	1	1	1	0	"0"	"0"
"Potri.001G034400"	1	0	1	1	"0"	"0"
"Potri.001G034500"	1	0	0	0	"0"	"0"
"Potri.001G034600"	1	0	0	0	"0"	"0"
"Potri.001G034700"	1	0	1	1	"0"	"0"
"Potri.001G034800"	0	0	0	0	"0"	"0"
"Potri.001G034900"	1	0	1	0	"0"	"1"
"Potri.001G035000"	1	0	0	0	"0"	"0"
"Potri.001G035100"	1	0	0	0	"0"	"0"
"Potri.001G035200"	1	0	0	0	"0"	"0"
"Potri.001G035300"	1	0	0	0	"0"	"0"
"Potri.001G035400"	1	0	0	0	"0"	"0"
"Potri.001G035500"	1	0	0	0	"0"	"0"
